"","dim0","dim1"
"1389",-0.130341484202304,-2.39161693145858
"1390",-0.0630893227135576,-2.22915316730865
"1391",-0.158487315623466,-2.25814056946365
"1392",-0.131735853877421,-2.1995105416604
"1393",-0.0968579322014118,-2.29768987499274
"1394",-0.0574438055768413,-2.26786381618746
"1395",-0.0616673543486017,-2.24902720429374
"1396",0.0321807000150487,-2.22028859644713
"1397",-0.219600720514712,-2.16814817152279
"1398",-0.232282747885882,-2.14658529800103
"1399",-0.206978131835439,-2.13616439539848
"1400",-0.251904680602306,-2.17592183300426
"1401",-0.191779754767485,-2.12322828035661
"1402",-0.160562893642288,-2.11917854330313
"1403",-0.117788528736781,-2.09936195280232
"1404",-0.0191243659540561,-2.07434224080629
"1405",-0.185701977766008,-2.1527420053524
"1406",-0.192829430406979,-2.23401881096225
"1407",-0.180708947521239,-2.22533663526944
"1408",-0.225635355441278,-2.33313427856698
"1409",-0.230051469276533,-2.34190015334009
"1410",-0.230549273410573,-2.34725005068096
"1411",-0.234427934922691,-2.36180551670075
"1413",-0.206350315453236,-2.26883756264014
"1414",-0.210600082014146,-2.2823252591899
"1415",-0.177331267111041,-2.27246290841248
"1416",-0.154858911227284,-2.27334439767354
"1417",-0.15140339254538,-2.22555822451121
"1418",-0.200309598403669,-2.24461458496822
"1419",-0.195570258645563,-2.22866597824635
"1420",-0.277622022397722,-2.31593207998785
"1421",-0.21550088467583,-2.29002661893733
"1422",-0.208770522397909,-2.14426624266489
"1423",-0.205059130525199,-2.13065126352145
"1424",-0.202519183522819,-2.11694685773797
"1425",-0.157634450296617,-2.10791058528927
"1426",-0.219092443525764,-2.10132166033201
"1427",-0.230100353872598,-2.11778542269978
"1428",-0.251661407229369,-2.13666199410032
"1430",-0.25939173037149,-2.17054760876493
"1431",-0.104370454143009,-2.14024910137357
"1432",-0.112764065710604,-2.12169880693088
"1433",-0.108428281391161,-2.11096431855191
"1434",-0.100280463709804,-2.11192952018457
"1435",-0.140833256980532,-2.10444566916195
"1436",-0.166180750241111,-2.04878755793223
"1437",-0.136162756393718,-2.01588233771405
"1438",-0.0918268125735341,-2.0173438047233
"1439",-0.0696685505691476,-2.01816329827814
"1440",-0.0563599672876477,-2.03093435691749
"1441",-0.234466885092838,-2.01514474370777
"1442",-0.244209850650831,-1.99759367060993
"1443",-0.145382566185553,-2.12762481910064
"1444",-0.136940540345307,-2.14437983346989
"1445",-0.261845830118389,-2.19089650402611
"1446",-0.280291643951255,-2.18282204068819
"1447",0.00962978661616825,-2.18052166885818
"1448",0.11640211174672,-2.18315909622406
"1449",0.0968116870553514,-2.16645609939382
"1450",0.0787950900116698,-2.15490093644499
"1451",0.0846372513992218,-2.10828120972787
"1452",0.188705492738536,-1.92187967353974
"1453",0.219277953327977,-1.88805434744665
"1454",0.0494333722813426,-2.16560348431583
"1455",0.043693191332935,-2.18605478435413
"1457",0.0991239615096202,-2.16456674071708
"1458",0.0840527054832851,-2.15398450365642
"1459",0.0263205023492593,-2.13749172319067
"1460",0.093617064432875,-2.14010565108389
"1461",0.120733317573168,-2.17609398486954
"1462",0.134039478366984,-2.19019272007646
"1463",0.131655246739173,-2.19644057919782
"1464",0.260740459327038,-2.20028797286143
"1465",0.338558431311195,-2.21382693429495
"1466",0.298380142577558,-2.18165992103993
"1467",0.232896183736473,-2.13307646622327
"1468",0.259548424801745,-2.14955730676769
"1469",0.228337418123913,-2.1429053082319
