id,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9
A0A1A5ZWP2_9TREE/14-410,0.012517113,-0.19536257,-0.32016173,-0.0032434799,0.014963744,-0.47523767,0.005461555,-1.2960728,-0.67620635,-0.10073294
A0A1Y2BB82_9TREE/16-411,0.009721031,-0.12883265,-0.36511588,0.019035237,0.0033645872,-0.56779724,0.0011795461,-1.3386328,-0.3364234,-0.21953832
B7K055_CYAP8/60-426,0.014658366,-0.97307426,-0.66756016,-0.08261279,0.026818315,-0.19203188,0.053494155,0.07464121,-0.23882629,-0.8673516
A0A1H1QUB6_9MICO/11-387,-0.120991126,-1.8486595,-0.4141297,-0.025757974,-0.036478356,-1.6066171,0.013086546,-1.6772289,-0.17487197,-1.2455279
A0LJD9_SYNFM/57-385,-0.043013345,-0.8073755,1.5104954,-0.057593323,0.040455475,0.20892511,-0.08280589,0.016838767,0.06877806,-0.16883598
A0A1G8WS24_9BRAD/7-382,-0.14075726,-1.3703779,0.6106872,-0.036012582,-0.13803965,-2.2069159,0.06022319,-1.8938373,-2.8075774,-1.6473109
Q6NCL2_RHOPA/7-383,-0.15815006,-1.1556038,0.42459053,-0.07900845,-0.12999149,-2.1171398,0.01695776,-1.7479972,-2.5202472,-1.5204846
Q81Q59_BACAN/37-362,0.06786572,-0.44440126,0.13926156,-0.03756444,0.027584663,0.3386014,-0.02540179,0.58092767,-1.7474786,-0.4708233
A0A0C5BC24_9MOLU/6-366,0.036997568,-0.52330315,-1.2160234,-0.063000835,0.030964242,-0.33629873,-0.013292994,-0.65658766,-1.0081866,-0.54117376
A0A1I0EXE2_9CLOT/58-392,0.03608638,0.17458333,-0.5389211,-0.020929215,0.0026953332,0.33459502,0.005357627,0.6242492,-1.1075349,-0.3578625
A0A0H4KJN3_9BACI/39-376,0.067223996,-1.723646,0.045267068,0.05625672,0.023509393,0.82072455,-0.046432186,1.0073134,-2.2380319,-1.1955117
A0A0A2N8E7_9FLAO/1-340,0.042745102,-0.38197458,-1.903879,-0.028094558,-0.011812525,0.6175658,-0.015428547,0.12007359,-1.8261343,-1.0312945
F0X6W5_GROCL/4-408,0.0018591946,-0.78617996,0.04150094,0.0300885,-0.031000588,-0.6888529,-0.01896571,-1.3386972,0.90039086,0.12004782
A0A1A9N780_9BURK/30-367,0.104381725,-0.26474676,0.5537555,0.010383582,-0.02958084,0.3838432,-0.0054804757,1.3137631,-0.091746196,0.74771726
G1D5P1_9CAUD/79-407,0.0134080965,0.44186366,1.0468078,0.08504333,0.012884906,-0.5066157,0.047538597,-0.35025698,1.1051265,-1.2841097
E3FIP8_STIAD/28-354,0.0032745632,-1.5580269,-0.018028973,-0.03616395,-0.042759575,-0.84763825,-0.009881839,1.2037383,-0.41455954,-1.9481901
A0A1C3X2Z3_9RHIZ/44-420,-0.02481449,-0.15202805,-0.30298245,-0.13975587,0.058646098,-1.1623013,-0.045273926,-1.4500846,-1.0645142,-0.46198404
G0A853_COLFT/165-538,-0.026672779,-0.002663216,-0.43806723,-0.029219473,-0.006527488,-1.4057097,-0.012540106,-1.5905796,-1.1819065,-1.199412
A0A2A6FH74_9RHIZ/44-420,-0.044360623,-0.43085453,-0.12325313,-0.17575064,0.047901243,-1.2920284,-0.054065738,-1.5540284,-1.024031,-0.47714773
A0A1P8Y312_9ACTN/82-433,-0.002897908,-0.14508344,1.1640648,-0.028719096,0.032368906,-1.7905272,-0.052197423,1.0223291,-0.264323,-0.61072177
A0A1H9NEV6_9PSEU/13-332,-0.027394542,-0.8746094,1.2606472,-0.012565164,-0.02080234,-0.12046139,-0.023603704,-0.1970399,0.69867337,0.5605989
B8I5I6_CLOCE/46-373,0.078548975,-1.8486965,0.1823597,-0.017159889,0.022352418,0.93498355,-0.05064131,0.6848349,-1.7694515,-1.4339507
A0A1K0FG92_9ACTN/8-337,-0.06946998,0.5313851,1.2348621,0.042429153,-0.015443983,-1.4801764,0.17693515,-0.10727492,1.9520106,1.6926874
G4HMK9_9BACL/15-346,0.0029861145,1.3282785,0.47516614,0.03955037,-0.055669688,-0.6893088,0.074362665,-0.21547796,-0.81425774,-1.1420054
D9VW49_9ACTN/50-384,-0.01660119,-2.3509393,1.4570906,-0.052923225,-0.000283774,-2.080475,-0.017119434,0.46975446,2.6851468,-0.43565962
A0A1M6TGA8_PSETH/52-392,0.07360929,-0.3091501,0.3512734,0.010788337,-0.045584626,0.5422793,0.0148313865,1.9537555,-0.031614706,1.128104
A0A081P2G8_9BACL/42-354,0.03425826,-0.27285445,0.04113788,-0.05217793,0.036310576,-0.14780003,-0.00782958,0.6816901,-1.6481012,-0.047002077
V9GFC3_9BACL/22-326,0.0033838896,1.1912422,0.41898522,0.054946437,-0.05468055,-0.7777984,0.058282908,-0.1631791,-0.8542544,-1.1754197
G2NV22_STRVO/183-506,-0.025158059,-0.06860049,1.1586097,-0.055039696,0.049657524,-1.505221,-0.07163784,0.4509192,0.12809893,-0.64260834
A0A0X3SAN9_9ACTN/71-399,0.04384364,0.30123344,1.9544975,-0.082163125,0.014909575,-1.1633849,0.033072297,1.3467274,2.0944257,-1.3024187
S5UL38_STRC3/66-392,0.02387864,0.22752143,2.5365918,-0.07270761,-0.0010754205,-1.2751322,0.0424155,1.2139938,2.087074,-1.453835
A0A101SPQ1_9ACTN/65-391,0.004666891,-0.09914961,2.0928688,-0.07407562,-0.0033522397,-1.6093146,0.012230221,1.2106606,2.6677845,-1.3615907
A0A1C6RK27_9ACTN/7-339,-0.09331899,0.6066501,1.0690637,0.038342223,-0.006372473,-1.5675273,0.14302815,-0.025375456,1.683977,1.662379
A0A136PYP5_9ACTN/8-319,-0.12047395,1.1006577,1.127382,0.009236024,-0.0029551666,-1.6958754,0.1274485,-0.06066223,2.1641433,2.0430584
A0A239MBZ1_9ACTN/4-332,-0.10578509,1.1272355,1.202719,0.018135019,-0.030988317,-1.3949568,0.11952968,-0.18260865,1.5008937,1.5603924
A0A1C5HWJ9_9ACTN/8-328,-0.1177446,1.2862225,1.4179451,0.048731647,-0.041422997,-1.9229102,0.16006061,-0.09418759,2.4039822,2.2180831
A0A0M8XL20_9ACTN/1-331,-0.113513306,1.1314667,1.2988018,0.025587127,-0.01694617,-1.8167367,0.15648264,-0.14469464,2.4235573,2.0921876
A0A1C4WL72_9ACTN/8-327,-0.12142794,1.318688,1.3103821,0.027139308,-0.026082972,-1.872219,0.15115416,-0.086489744,2.39688,2.1784832
A0A1Q4ZFX8_9ACTN/8-332,-0.10840282,1.1054238,1.3813195,0.027226431,-0.0280899,-1.8385168,0.17123565,-0.17855859,2.3322136,2.193966
